Y;K;L;P
304343;73127;793;1197.8
126199.3;26858;638;415.7
188466.3;51546;755;3204
302510.1;94788;1141;4674.6
86572.8;31956;551;4070.1
156646.2;60349;565;1360.3
78700.7;11334;372;564
161473.3;41183;588;737
226464;84317;610;25644
1530623;380061;3739;11377
89733.5;19791;416;799.3
152805.8;38036;575;1191.9
125237.3;34633;548;1127.4
133587;48795;549;972.9
197892;70047;745;1482.9
213621.7;61518;795;6408.9
212801.7;57377;719;5752.9
7157536.8;742422;6082;25992.7
106228.5;18692;375;1328
301410;109469;542;624.6
323026.5;74284;678;1154.8
130169.6;36364;24;259.6
212833.1;55794;671;3844.6
169863.5;60463;516;371.5
425111.1;190860;912;8042
201785.4;41722;522;3386.5
117497.1;35617;344;939
74550.1;12717;363;171
1473348.2;334074;2718;16261.6
41439.2;15874;203;90.1
23898.8;8106;146;0
857527.3;377013;2628;665.9
132211.8;61953;529;273.2
377366.3;75591;1343;5564.8
556194.2;170845;2199;2123.7
795453.2;267085;4387;2967.4
265092.1;102189;1272;51.3
66427.1;17514;412;172.6
38582.7;10145;214;705.9
65140.7;13927;365;102.4
64089.7;41508;549;0
277466.8;75279;1347;1935.3
645526.3;148142;2067;11674.8
68768;16576;366;507.4
92855.1;31968;464;597.5
884232.9;277573;1996;8262.5
229369.1;40450;852;4147.3
139481.8;35688;688;3198
544541.3;132274;1449;9773.1
144989.1;31471;768;1143.8
545940.1;201692;1824;23805
414537.2;91268;1099;4132.6
150851;43603;689;696.2
579023.2;111189;1744;7923.1
327181.1;67760;1351;3417.2
152627.4;49500;680;1983.4
4396560.3;1337857;6635;81639.9
108489.2;35021;453;571.2
823833;200368;2383;16656.2
2899567.1;957021;1914;23379.8
1811590.9;472195;906;20154.7
651871.4;344336;326;2764.3
564671;145446;1884;41032.8
19858.5;7169;102;26.4
124610.3;23379;457;527
26918.9;5188;130;45.3
83839;12837;280;97.5
267535;45026;1283;688.3
148381.8;42271;549;61.3
748512.1;247789;1580;8030.9
455529.2;106550;1318;5460.1
512421.6;110074;1460;901.1
423945.5;100448;1406;3069.4
336191.2;59184;1062;4304.5
242481.2;74679;549;3446.6
329679.6;192648;501;794.6
95591;24385;206;109.9
367698.3;149813;1099;721.7
274983.5;96974;771;2140.4
151750.4;65625;457;215.5
48128.4;15178;104;1039
392311.7;118446;295;59697.2
25345.1;8039;90;61.3
45397;15001;32;0
