Y;K;L
304343;73127;793
126199.3;26858;638
188466.3;51546;755
302510.1;94788;1141
86572.8;31956;551
156646.2;60349;565
78700.7;11334;372
161473.3;41183;588
226464;84317;610
1530623;380061;3739
89733.5;19791;416
152805.8;38036;575
125237.3;34633;548
133587;48795;549
197892;70047;745
213621.7;61518;795
212801.7;57377;719
7157536.8;742422;6082
106228.5;18692;375
301410;109469;542
323026.5;74284;678
130169.6;36364;24
212833.1;55794;671
169863.5;60463;516
425111.1;190860;912
201785.4;41722;522
117497.1;35617;344
74550.1;12717;363
1473348.2;334074;2718
41439.2;15874;203
23898.8;8106;146
857527.3;377013;2628
132211.8;61953;529
377366.3;75591;1343
556194.2;170845;2199
795453.2;267085;4387
265092.1;102189;1272
66427.1;17514;412
38582.7;10145;214
65140.7;13927;365
64089.7;41508;549
277466.8;75279;1347
645526.3;148142;2067
68768;16576;366
92855.1;31968;464
884232.9;277573;1996
229369.1;40450;852
139481.8;35688;688
544541.3;132274;1449
144989.1;31471;768
545940.1;201692;1824
414537.2;91268;1099
150851;43603;689
579023.2;111189;1744
327181.1;67760;1351
152627.4;49500;680
4396560.3;1337857;6635
108489.2;35021;453
823833;200368;2383
2899567.1;957021;1914
1811590.9;472195;906
651871.4;344336;326
564671;145446;1884
19858.5;7169;102
124610.3;23379;457
26918.9;5188;130
83839;12837;280
267535;45026;1283
148381.8;42271;549
748512.1;247789;1580
455529.2;106550;1318
512421.6;110074;1460
423945.5;100448;1406
336191.2;59184;1062
242481.2;74679;549
329679.6;192648;501
95591;24385;206
367698.3;149813;1099
274983.5;96974;771
151750.4;65625;457
48128.4;15178;104
392311.7;118446;295
25345.1;8039;90
45397;15001;32
